1,2,3,4,5,6
267329,334,337916
267319,335,337959
267259,344,338010
267218,345,338002
267132,341,337980
267135,335,337928
267151,335,337968
267143,341,337959
267174,346,337939
267172,347,337942
267187,344,337927
267208,337,337896
267250,342,337913
267291,349,337921
267329,351,337953
267398,346,337942
267454,341,337929
267525,344,337984
267560,353,338006
267615,354,337966
267658,350,338028
267699,347,338071
267677,346,338177
267623,352,338216
267557,356,338244
267470,354,338253
267400,347,338267
267337,346,338199
267309,351,338194
267279,359,338176
267277,357,338147
267286,352,338180
267296,349,338118
267319,354,338143
267337,360,338099
267361,363,338084
267386,362,338065
267429,355,338103
267480,358,338105
267508,364,338144
267574,372,338153
267640,369,338134
267654,367,338160
267714,367,338152
267747,380,338177
267784,392,338290
267705,402,338371
267626,408,338362
267562,414,338406
267482,430,338410
267447,445,338354
267426,458,338325
267414,464,338306
267437,471,338348
267466,482,338349
267496,500,338374
267473,510,338342
267500,508,338319
267535,503,338336
267553,507,338280
267560,509,338288
267660,514,338270
267725,504,338265
267746,492,338248
267748,472,338225
267811,468,338236
267845,469,338269
267906,463,338315
267918,449,338421
267866,441,338530
267774,440,338517
267679,444,338583
267666,444,338568
267561,435,338548
267529,431,338525
267534,424,338513
267506,427,338514
267502,433,338510
267510,426,338471
267491,420,338454
267521,419,338443
267530,428,338457
267612,433,338470
267624,434,338464
267656,430,338506
267708,423,338514
267756,429,338501
267789,436,338510
267835,436,338509
267888,432,338548
267961,426,338573
267955,429,338621
267931,437,338697
267843,438,338735
267788,436,338751
267708,430,338734
267664,425,338714
267627,431,338653
267626,436,338658
267581,438,338642
267607,432,338642
267604,426,338626
267620,431,338625
267634,440,338625
267696,443,338661
267691,438,338604
267715,439,338617
267762,434,338657
267819,441,338682
267840,445,338670
267900,445,338685
267961,437,338719
267962,439,338729
268055,447,338733
268043,450,338838
268000,451,338897
267940,445,338881
267900,442,338912
267842,446,338911
267839,453,338865
267865,454,338863
267823,448,338858
267847,444,338880
267808,445,338862
267883,453,338852
267853,454,338836
267878,451,338836
267925,450,338867
267954,445,338860
267971,455,338892
268011,459,338865
268056,456,338897
268096,449,338884
268146,449,338893
268151,454,338870
268221,464,338890
268177,460,338979
268136,455,339077
268040,456,339084
267996,452,339075
267932,461,339106
267864,461,339074
267867,456,339019
267819,452,339050
267806,456,339027
267818,460,339000
267798,466,338997
267820,459,338992
267821,454,338946
267825,455,338941
267863,465,338916
267902,468,338953
267904,465,338958
267953,463,338957
267993,459,338993
268048,469,338982
268105,474,338997
268147,478,339041
268139,471,339127
268052,471,339176
267988,475,339262
267892,497,339247
267822,515,339270
267760,541,339249
267733,562,339210
267737,587,339157
267707,616,339180
267662,636,339140
267668,638,339095
267656,645,339103
267653,648,339027
267691,657,339036
267713,675,339027
267735,683,339053
267780,693,339046
267794,704,339018
267825,716,339021
267866,739,339027
267907,746,338994
267955,748,338952
267950,744,339012
267877,744,339117
267796,745,339155
267694,748,339182
267641,748,339138
267543,751,339118
267531,751,339089
267488,768,339052
267461,775,339083
267467,786,339062
267479,788,339078
267501,793,339060
267522,802,339065
267553,814,339035
267552,815,339063
267568,804,339056
267620,790,339090
267665,780,339101
267699,771,339089
267779,751,339131
267823,705,339092
267757,651,339018
267742,617,339012
267726,599,339127
267652,586,339197
267561,576,339192
267497,570,339207
267474,566,339192
267466,570,339185
267426,573,339130
267394,573,339161
267393,573,339160
267415,566,339125
267421,570,339121
267420,577,339113
267459,581,339101
267469,577,339100
267480,573,339083
267527,577,339105
267541,585,339093
267608,588,339095
267613,586,339145
267702,586,339136
267695,584,339111
