1,2,3,4,5,6
237417,192,281509,,,
237461,194,281536,,,
237507,193,281527,,,
237574,191,281567,,,
237596,191,281601,,,
237613,192,281518,,,
237388,193,281370,,,
237207,193,281248,,,
237070,191,281212,,,
236941,190,281157,,,
236818,191,281136,,,
236826,192,281146,,,
236773,192,281125,,,
236735,190,281145,,,
236717,191,281116,,,
236710,190,281174,,,
236748,192,281159,,,
236777,192,281206,,,
236820,190,281197,,,
236818,190,281237,,,
236857,190,281242,,,
236855,189,281235,,,
236907,188,281290,,,
236966,183,281268,,,
236991,177,281311,,,
237047,172,281350,,,
237092,168,281370,,,
237147,167,281370,,,
237174,166,281402,,,
237191,166,281424,,,
237155,165,281346,,,
236977,166,281181,,,
236809,166,281106,,,
236669,166,281046,,,
236566,166,280996,,,
236485,165,280987,,,
236471,165,280996,,,
236416,166,280986,,,
236400,165,280972,,,
236358,166,280993,,,
236379,166,280989,,,
236373,166,281022,,,
236421,165,281046,,,
236448,166,281035,,,
236477,166,281058,,,
236493,165,281081,,,
236529,165,281104,,,
236569,166,281117,,,
236574,166,281135,,,
236621,166,281149,,,
236663,165,281156,,,
236685,165,281200,,,
236725,166,281197,,,
236767,166,281193,,,
236652,166,281096,,,
236484,166,280991,,,
236390,165,280962,,,
236285,166,280959,,,
236206,166,280952,,,
236209,166,280959,,,
236209,165,280962,,,
236175,165,280931,,,
236161,165,280961,,,
236192,167,280983,,,
236213,166,281033,,,
236227,165,281037,,,
236294,165,281069,,,
236327,165,281067,,,
236368,165,281130,,,
236404,166,281115,,,
236456,166,281163,,,
236499,166,281183,,,
236552,165,281211,,,
236620,166,281235,,,
236668,166,281244,,,
236692,166,281276,,,
236714,165,281281,,,
236578,165,281102,,,
236408,164,281036,,,
236285,165,280960,,,
236155,166,280931,,,
236059,166,280869,,,
236005,166,280876,,,
235945,165,280920,,,
235946,165,280907,,,
235915,166,280919,,,
235937,166,280957,,,
235964,166,280959,,,
235983,165,280984,,,
236034,165,281017,,,
236095,166,281040,,,
236108,166,281058,,,
236146,165,281093,,,
236207,165,281115,,,
236246,166,281155,,,
236297,166,281189,,,
236357,166,281174,,,
236425,166,281239,,,
236490,165,281240,,,
236512,165,281225,,,
236500,166,281206,,,
236328,166,281048,,,
236175,166,280983,,,
236037,166,280920,,,
235903,165,280869,,,
235855,166,280849,,,
235812,166,280897,,,
235822,165,280892,,,
235788,166,280932,,,
235812,165,280930,,,
235812,165,280955,,,
235836,165,280974,,,
235886,165,280972,,,
235948,166,281048,,,
235943,165,281017,,,
236018,165,281077,,,
236073,166,281131,,,
236192,166,281234,,,
236264,167,281219,,,
236257,170,281211,,,
236245,178,281132,,,
236334,185,281175,,,
236374,192,281191,,,
236463,194,281240,,,
236428,194,281201,,,
236283,195,281060,,,
236196,197,280997,,,
236106,198,280948,,,
236022,200,280944,,,
236003,199,280942,,,
236009,198,280977,,,
236032,199,280980,,,
235995,201,280989,,,
236043,202,281015,,,
236072,202,281033,,,
236116,200,281061,,,
236169,199,281102,,,
236232,201,281127,,,
236288,202,281143,,,
236335,200,281126,,,
236333,198,281181,,,
236400,196,281196,,,
236479,196,281240,,,
236549,199,281255,,,
236610,197,281318,,,
236668,196,281324,,,
236694,194,281300,,,
236563,195,281184,,,
236414,195,281062,,,
236307,195,281021,,,
236207,193,280977,,,
236114,193,280970,,,
236146,193,280970,,,
236106,193,280985,,,
236099,192,280938,,,
236093,191,280938,,,
236119,187,280988,,,
236133,182,281021,,,
236205,178,281051,,,
236251,174,281076,,,
236294,169,281144,,,
236331,167,281146,,,
236374,165,281167,,,
236410,165,281151,,,
236489,165,281197,,,
236502,166,281207,,,
236570,166,281213,,,
236630,165,281232,,,
236641,166,281267,,,
236634,166,281198,,,
236428,165,281044,,,
236305,166,280971,,,
236169,165,280905,,,
236043,165,280852,,,
235964,165,280798,,,
235914,166,280835,,,
235889,165,280863,,,
235878,165,280848,,,
235878,165,280862,,,
235887,165,280880,,,
235910,166,280899,,,
235950,165,280944,,,
235982,166,280969,,,
236035,165,280997,,,
236086,166,281032,,,
236134,166,281046,,,
236181,167,281086,,,
236255,165,281097,,,
